REF_DATE,GEO,DGUID,Level of study,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006/2007,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,5711,,,,0
2006/2007,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,6992,,,,0
2006/2007,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,17363,,,,0
2006/2007,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,14398,,,,0
2006/2007,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3417,,,,0
2006/2007,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,2720,,,,0
2006/2007,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,13170,,,,0
2006/2007,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3534,,,,0
2006/2007,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,6386,,,,0
2006/2007,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,3495,,,,0
2006/2007,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,11642,,,,0
2006/2007,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,7876,,,,0
2006/2007,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,8335,,,,0
2006/2007,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,10453,,,,0
2006/2007,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,16046,,,,0
2006/2007,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,18839,,,,0
2006/2007,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,7099,,,,0
2006/2007,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6451,,,,0
2006/2007,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,13797,,,,0
2006/2007,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,11475,,,,0
2006/2007,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2508,,,,0
2006/2007,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,2672,,,,0
2006/2007,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,16003,,,,0
2006/2007,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,13035,,,,0
2006/2007,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,6691,,,,0
2006/2007,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,11019,,,,0
2006/2007,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,18873,,,,0
2006/2007,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,19631,,,,0
2006/2007,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4308,,,,0
2006/2007,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,6004,,,,0
2006/2007,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,11839,,,,0
2006/2007,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,11462,,,,0
2006/2007,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,6196,,,,0
2006/2007,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,3682,,,,0
2006/2007,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,13464,,,,0
2006/2007,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,3951,,,,0
2006/2007,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6182,,,,0
2006/2007,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,7125,,,,0
2006/2007,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,16376,,,,0
2006/2007,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,12551,,,,0
2006/2007,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,6152,,,,0
2006/2007,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,7275,,,,0
2006/2007,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,20200,,,,0
2006/2007,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,11542,,,,0
2007/2008,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,5788,,,,0
2007/2008,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,7102,,,,0
2007/2008,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,17712,,,,0
2007/2008,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,15951,,,,0
2007/2008,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3343,,,,0
2007/2008,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,4681,,,,0
2007/2008,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,12190,,,,0
2007/2008,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,4399,,,,0
2007/2008,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,5639,,,,0
2007/2008,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,3651,,,,0
2007/2008,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,11125,,,,0
2007/2008,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,7687,,,,0
2007/2008,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,7759,,,,0
2007/2008,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,9343,,,,0
2007/2008,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,15717,,,,0
2007/2008,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,18882,,,,0
2007/2008,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,7099,,,,0
2007/2008,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6501,,,,0
2007/2008,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,13957,,,,0
2007/2008,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,11648,,,,0
2007/2008,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2611,,,,0
2007/2008,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3010,,,,0
2007/2008,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,15939,,,,0
2007/2008,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,13915,,,,0
2007/2008,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,6843,,,,0
2007/2008,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,10777,,,,0
2007/2008,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,19995,,,,0
2007/2008,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,19599,,,,0
2007/2008,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4154,,,,0
2007/2008,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,5844,,,,0
2007/2008,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,10740,,,,0
2007/2008,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,11047,,,,0
2007/2008,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,6369,,,,0
2007/2008,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,4487,,,,0
2007/2008,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,12959,,,,0
2007/2008,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,4719,,,,0
2007/2008,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6505,,,,0
2007/2008,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,7810,,,,0
2007/2008,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,16902,,,,0
2007/2008,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,14305,,,,0
2007/2008,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,6251,,,,0
2007/2008,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,8167,,,,0
2007/2008,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,20907,,,,0
2007/2008,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,17622,,,,0
2008/2009,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,5891,,,,0
2008/2009,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,7120,,,,0
2008/2009,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,18156,,,,0
2008/2009,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,15310,,,,0
2008/2009,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3250,,,,0
2008/2009,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,3032,,,,0
2008/2009,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,11569,,,,0
2008/2009,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3456,,,,0
2008/2009,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,5622,,,,0
2008/2009,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,3307,,,,0
2008/2009,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,11095,,,,0
2008/2009,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,7630,,,,0
2008/2009,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,7293,,,,0
2008/2009,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,9598,,,,0
2008/2009,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,15395,,,,0
2008/2009,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,17986,,,,0
2008/2009,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,6800,,,,0
2008/2009,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6292,,,,0
2008/2009,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,13618,,,,0
2008/2009,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,11120,,,,0
2008/2009,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2705,,,,0
2008/2009,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,2754,,,,0
2008/2009,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,16376,,,,0
2008/2009,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,14081,,,,0
2008/2009,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,7033,,,,0
2008/2009,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,10246,,,,0
2008/2009,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,20962,,,,0
2008/2009,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,18966,,,,0
2008/2009,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4018,,,,0
2008/2009,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,4722,,,,0
2008/2009,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,12025,,,,0
2008/2009,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,9895,,,,0
2008/2009,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,6285,,,,0
2008/2009,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,3428,,,,0
2008/2009,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,12987,,,,0
2008/2009,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,3119,,,,0
2008/2009,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6587,,,,0
2008/2009,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,6141,,,,0
2008/2009,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,17869,,,,0
2008/2009,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,11571,,,,0
2008/2009,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,5890,,,,0
2008/2009,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,8986,,,,0
2008/2009,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,19084,,,,0
2008/2009,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,17220,,,,0
2009/2010,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,6117,,,,0
2009/2010,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,6016,,,,0
2009/2010,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,19734,,,,0
2009/2010,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,14455,,,,0
2009/2010,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3248,,,,0
2009/2010,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,3042,,,,0
2009/2010,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,12766,,,,0
2009/2010,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3453,,,,0
2009/2010,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,6150,,,,0
2009/2010,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,5064,,,,0
2009/2010,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,28278,,,,0
2009/2010,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,9794,,,,0
2009/2010,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,7120,,,,0
2009/2010,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,9532,,,,0
2009/2010,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,15390,,,,0
2009/2010,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,18047,,,,0
2009/2010,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,6827,,,,0
2009/2010,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6280,,,,0
2009/2010,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,13922,,,,0
2009/2010,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,11113,,,,0
2009/2010,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2858,,,,0
2009/2010,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3024,,,,0
2009/2010,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,18403,,,,0
2009/2010,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,15845,,,,0
2009/2010,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,7408,,,,0
2009/2010,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,7743,,,,0
2009/2010,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,22343,,,,0
2009/2010,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,17502,,,,0
2009/2010,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4218,,,,0
2009/2010,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,4872,,,,0
2009/2010,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,13821,,,,0
2009/2010,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,9672,,,,0
2009/2010,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,6403,,,,0
2009/2010,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,3870,,,,0
2009/2010,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,15618,,,,0
2009/2010,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,3466,,,,0
2009/2010,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6486,,,,0
2009/2010,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,5690,,,,0
2009/2010,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,21522,,,,0
2009/2010,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,11477,,,,0
2009/2010,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,5825,,,,0
2009/2010,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,7711,,,,0
2009/2010,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,20046,,,,0
2009/2010,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,12123,,,,0
2010/2011,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,6255,,,,0
2010/2011,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,6565,,,,0
2010/2011,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,20472,,,,0
2010/2011,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,15395,,,,0
2010/2011,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3220,,,,0
2010/2011,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,2985,,,,0
2010/2011,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,11860,,,,0
2010/2011,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3391,,,,0
2010/2011,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,6236,,,,0
2010/2011,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,4756,,,,0
2010/2011,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,28365,,,,0
2010/2011,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,9755,,,,0
2010/2011,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,6681,,,,0
2010/2011,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,8699,,,,0
