REF_DATE,GEO,DGUID,Level of study,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2010/2011,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,15112,,,,0
2010/2011,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,17411,,,,0
2010/2011,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,6864,,,,0
2010/2011,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6119,,,,0
2010/2011,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,14172,,,,0
2010/2011,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,10897,,,,0
2010/2011,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2930,,,,0
2010/2011,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3161,,,,0
2010/2011,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,19446,,,,0
2010/2011,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,17774,,,,0
2010/2011,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,7677,,,,0
2010/2011,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,8728,,,,0
2010/2011,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,23213,,,,0
2010/2011,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,18135,,,,0
2010/2011,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4367,,,,0
2010/2011,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,5022,,,,0
2010/2011,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,14286,,,,0
2010/2011,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,9972,,,,0
2010/2011,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,6601,,,,0
2010/2011,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,4174,,,,0
2010/2011,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,16791,,,,0
2010/2011,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,4275,,,,0
2010/2011,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6691,,,,0
2010/2011,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,5679,,,,0
2010/2011,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,21455,,,,0
2010/2011,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,11435,,,,0
2010/2011,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,5783,,,,0
2010/2011,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,8725,,,,0
2010/2011,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,20869,,,,0
2010/2011,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,13285,,,,0
2011/2012,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,6275,,,,0
2011/2012,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,6436,,,,0
2011/2012,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,20866,,,,0
2011/2012,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,15158,,,,0
2011/2012,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3128,,,,0
2011/2012,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,2900,,,,0
2011/2012,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,11524,,,,0
2011/2012,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3294,,,,0
2011/2012,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,6210,,,,0
2011/2012,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,4714,,,,0
2011/2012,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,28640,,,,0
2011/2012,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,11066,,,,0
2011/2012,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,6758,,,,0
2011/2012,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,8771,,,,0
2011/2012,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,15216,,,,0
2011/2012,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,17799,,,,0
2011/2012,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,6765,,,,0
2011/2012,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6210,,,,0
2011/2012,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,14290,,,,0
2011/2012,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,10866,,,,0
2011/2012,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2976,,,,0
2011/2012,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3210,,,,0
2011/2012,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,19323,,,,0
2011/2012,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,16860,,,,0
2011/2012,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,8048,,,,0
2011/2012,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,9072,,,,0
2011/2012,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,24844,,,,0
2011/2012,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,18828,,,,0
2011/2012,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4296,,,,0
2011/2012,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,4928,,,,0
2011/2012,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,13953,,,,0
2011/2012,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,9787,,,,0
2011/2012,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,6772,,,,0
2011/2012,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,4067,,,,0
2011/2012,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,17425,,,,0
2011/2012,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,4606,,,,0
2011/2012,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6688,,,,0
2011/2012,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,5522,,,,0
2011/2012,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,21854,,,,0
2011/2012,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,11147,,,,0
2011/2012,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,5809,,,,0
2011/2012,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,8789,,,,0
2011/2012,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,21488,,,,0
2011/2012,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,13296,,,,0
2012/2013,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,6499,,,,0
2012/2013,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,6883,,,,0
2012/2013,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,21254,,,,0
2012/2013,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,15311,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3076,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,2877,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,10501,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3288,,,,0
2012/2013,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,6369,,,,0
2012/2013,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,5514,,,,0
2012/2013,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,24295,,,,0
2012/2013,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,12162,,,,0
2012/2013,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,6954,,,,0
2012/2013,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,9002,,,,0
2012/2013,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,15301,,,,0
2012/2013,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,18313,,,,0
2012/2013,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,6911,,,,0
2012/2013,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6332,,,,0
2012/2013,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,14395,,,,0
2012/2013,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,11140,,,,0
2012/2013,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2984,,,,0
2012/2013,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3138,,,,0
2012/2013,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,19396,,,,0
2012/2013,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,16664,,,,0
2012/2013,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,8116,,,,0
2012/2013,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,9619,,,,0
2012/2013,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,25440,,,,0
2012/2013,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,19378,,,,0
2012/2013,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4328,,,,0
2012/2013,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,4996,,,,0
2012/2013,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,14296,,,,0
2012/2013,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,9957,,,,0
2012/2013,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,7104,,,,0
2012/2013,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,4996,,,,0
2012/2013,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,18711,,,,0
2012/2013,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,5922,,,,0
2012/2013,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6597,,,,0
2012/2013,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,5556,,,,0
2012/2013,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,21708,,,,0
2012/2013,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,11031,,,,0
2012/2013,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,5737,,,,0
2012/2013,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,8566,,,,0
2012/2013,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,19767,,,,0
2012/2013,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,13407,,,,0
2013/2014,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,6650,,,,0
2013/2014,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,6962,,,,0
2013/2014,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,22388,,,,0
2013/2014,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,15555,,,,0
2013/2014,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3034,,,,0
2013/2014,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,2890,,,,0
2013/2014,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,10387,,,,0
2013/2014,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3284,,,,0
2013/2014,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,6559,,,,0
2013/2014,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,5558,,,,0
2013/2014,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,24454,,,,0
2013/2014,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,12430,,,,0
2013/2014,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,7166,,,,0
2013/2014,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,9275,,,,0
2013/2014,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,15888,,,,0
2013/2014,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,18366,,,,0
2013/2014,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,7048,,,,0
2013/2014,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6462,,,,0
2013/2014,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,14824,,,,0
2013/2014,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,11524,,,,0
2013/2014,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,3064,,,,0
2013/2014,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3143,,,,0
2013/2014,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,20169,,,,0
2013/2014,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,15867,,,,0
2013/2014,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,8368,,,,0
2013/2014,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,9767,,,,0
2013/2014,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,27315,,,,0
2013/2014,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,20546,,,,0
2013/2014,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4370,,,,0
2013/2014,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,5024,,,,0
2013/2014,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,14515,,,,0
2013/2014,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,10002,,,,0
2013/2014,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,7382,,,,0
2013/2014,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,4163,,,,0
2013/2014,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,19209,,,,0
2013/2014,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,5552,,,,0
2013/2014,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6544,,,,0
2013/2014,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,5701,,,,0
2013/2014,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,21783,,,,0
2013/2014,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,11035,,,,0
2013/2014,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,5786,,,,0
2013/2014,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,8712,,,,0
2013/2014,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,20600,,,,0
2013/2014,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,14279,,,,0
2014/2015,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,6784,,,,0
2014/2015,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,7120,,,,0
2014/2015,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,23290,,,,0
2014/2015,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,15731,,,,0
2014/2015,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3008,,,,0
2014/2015,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,2798,,,,0
2014/2015,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,10113,,,,0
2014/2015,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3192,,,,0
2014/2015,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,6615,,,,0
2014/2015,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,5480,,,,0
2014/2015,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,24461,,,,0
2014/2015,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,12487,,,,0
2014/2015,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,7332,,,,0
2014/2015,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,9254,,,,0
2014/2015,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,15988,,,,0
2014/2015,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,18641,,,,0
2014/2015,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,7123,,,,0
2014/2015,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6513,,,,0
2014/2015,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,14943,,,,0
2014/2015,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,11726,,,,0
2014/2015,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,3099,,,,0
2014/2015,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3189,,,,0
2014/2015,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,20751,,,,0
2014/2015,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,15892,,,,0
2014/2015,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,8553,,,,0
2014/2015,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,9906,,,,0
2014/2015,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,28718,,,,0
2014/2015,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,21281,,,,0
2014/2015,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4362,,,,0
2014/2015,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,5053,,,,0
