REF_DATE,GEO,DGUID,Level of study,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018/2019,Yukon,2016A000260,International undergraduate,Constant dollars,370,units,0,v1411954071,12.3,,..,,,0
2018/2019,Yukon,2016A000260,International graduate,Constant dollars,370,units,0,v1411954072,12.4,,..,,,0
2019/2020,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,6734,,,,0
2019/2020,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,7482,,,,0
2019/2020,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,31113,,,,0
2019/2020,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,18672,,,,0
2019/2020,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3098,,,,0
2019/2020,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,3013,,,,0
2019/2020,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,12476,,,,0
2019/2020,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,4257,,,,0
2019/2020,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,7026,,,,0
2019/2020,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,5202,,,,0
2019/2020,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,21533,,,,0
2019/2020,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,10493,,,,0
2019/2020,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,8827,,,,0
2019/2020,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,9891,,,,0
2019/2020,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,19388,,,,0
2019/2020,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,21452,,,,0
2019/2020,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,7908,,,,0
2019/2020,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6689,,,,0
2019/2020,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,16817,,,,0
2019/2020,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,12496,,,,0
2019/2020,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,3186,,,,0
2019/2020,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3388,,,,0
2019/2020,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,25275,,,,0
2019/2020,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,17144,,,,0
2019/2020,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,8258,,,,0
2019/2020,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,9996,,,,0
2019/2020,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,39677,,,,0
2019/2020,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,24809,,,,0
2019/2020,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4888,,,,0
2019/2020,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,5278,,,,0
2019/2020,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,16845,,,,0
2019/2020,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,11602,,,,0
2019/2020,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,8119,,,,0
2019/2020,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,4525,,,,0
2019/2020,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,21456,,,,0
2019/2020,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,6763,,,,0
2019/2020,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,5926,,,,0
2019/2020,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,7027,,,,0
2019/2020,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,22785,,,,0
2019/2020,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,11760,,,,0
2019/2020,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,6180,,,,0
2019/2020,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,9420,,,,0
2019/2020,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,28404,,,,0
2019/2020,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,19948,,,,0
2019/2020,Yukon,2016A000260,Canadian undergraduate,Constant dollars,370,units,0,v1411954069,12.1,3967,,,,0
2019/2020,Yukon,2016A000260,Canadian graduate,Constant dollars,370,units,0,v1411954070,12.2,,..,,,0
2019/2020,Yukon,2016A000260,International undergraduate,Constant dollars,370,units,0,v1411954071,12.3,,..,,,0
2019/2020,Yukon,2016A000260,International graduate,Constant dollars,370,units,0,v1411954072,12.4,,..,,,0
2020/2021,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,6801,,,,0
2020/2021,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,7608,,,,0
2020/2021,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,33115,,,,0
2020/2021,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,20081,,,,0
2020/2021,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3181,,,,0
2020/2021,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,2920,,,,0
2020/2021,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,12441,,,,0
2020/2021,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,4219,,,,0
2020/2021,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,7112,,,,0
2020/2021,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,5309,,,,0
2020/2021,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,20814,,,,0
2020/2021,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,10813,,,,0
2020/2021,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,9040,,,,0
2020/2021,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,10185,,,,0
2020/2021,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,20187,,,,0
2020/2021,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,22734,,,,0
2020/2021,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,8000,,,,0
2020/2021,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6902,,,,0
2020/2021,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,16241,,,,0
2020/2021,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,13079,,,,0
2020/2021,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,3258,,,,0
2020/2021,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3425,,,,0
2020/2021,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,26929,,,,0
2020/2021,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,18305,,,,0
2020/2021,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,8205,,,,0
2020/2021,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,10066,,,,0
2020/2021,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,41886,,,,0
2020/2021,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,26378,,,,0
2020/2021,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,5066,,,,0
2020/2021,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,5395,,,,0
2020/2021,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,17628,,,,0
2020/2021,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,11858,,,,0
2020/2021,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,8512,,,,0
2020/2021,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,4517,,,,0
2020/2021,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,21235,,,,0
2020/2021,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,6754,,,,0
2020/2021,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6316,,,,0
2020/2021,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,6897,,,,0
2020/2021,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,28101,,,,0
2020/2021,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,15350,,,,0
2020/2021,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,6191,,,,0
2020/2021,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,9901,,,,0
2020/2021,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,29294,,,,0
2020/2021,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,20476,,,,0
2020/2021,Yukon,2016A000260,Canadian undergraduate,Constant dollars,370,units,0,v1411954069,12.1,4062,,,,0
2020/2021,Yukon,2016A000260,Canadian graduate,Constant dollars,370,units,0,v1411954070,12.2,,..,,,0
2020/2021,Yukon,2016A000260,International undergraduate,Constant dollars,370,units,0,v1411954071,12.3,,..,,,0
2020/2021,Yukon,2016A000260,International graduate,Constant dollars,370,units,0,v1411954072,12.4,,..,,,0
2021/2022,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,6660,,,,0
2021/2022,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,7315,,,,0
2021/2022,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,33446,,,,0
2021/2022,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,20246,,,,0
2021/2022,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3025,,,,0
2021/2022,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,3386,,,,0
2021/2022,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,11939,,,,0
2021/2022,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,4864,,,,0
2021/2022,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,6951,,,,0
2021/2022,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,5273,,,,0
2021/2022,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,19284,,,,0
2021/2022,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,10676,,,,0
2021/2022,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,9035,,,,0
2021/2022,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,10277,,,,0
2021/2022,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,20120,,,,0
2021/2022,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,22197,,,,0
2021/2022,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,7995,,,,0
2021/2022,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,7020,,,,0
2021/2022,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,16475,,,,0
2021/2022,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,12935,,,,0
2021/2022,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,3272,,,,0
2021/2022,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3490,,,,0
2021/2022,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,27311,,,,0
2021/2022,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,18613,,,,0
2021/2022,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,7850,,,,0
2021/2022,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,9327,,,,0
2021/2022,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,41744,,,,0
2021/2022,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,26196,,,,0
2021/2022,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,5064,,,,0
2021/2022,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,5373,,,,0
2021/2022,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,17760,,,,0
2021/2022,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,11944,,,,0
2021/2022,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,8455,,,,0
2021/2022,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,4757,,,,0
2021/2022,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,22008,,,,0
2021/2022,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,7610,,,,0
2021/2022,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6582,,,,0
2021/2022,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,6764,,,,0
2021/2022,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,27714,,,,0
2021/2022,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,15146,,,,0
2021/2022,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,6134,,,,0
2021/2022,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,9823,,,,0
2021/2022,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,31095,,,,0
2021/2022,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,20901,,,,0
2021/2022,Yukon,2016A000260,Canadian undergraduate,Constant dollars,370,units,0,v1411954069,12.1,4005,,,,0
2021/2022,Yukon,2016A000260,Canadian graduate,Constant dollars,370,units,0,v1411954070,12.2,,..,,,0
2021/2022,Yukon,2016A000260,International undergraduate,Constant dollars,370,units,0,v1411954071,12.3,,..,,,0
2021/2022,Yukon,2016A000260,International graduate,Constant dollars,370,units,0,v1411954072,12.4,,..,,,0
2022/2023,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,6482,,,,0
2022/2023,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,7054,,,,0
2022/2023,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,34260,,,,0
2022/2023,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,20022,,,,0
2022/2023,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3225,,,,0
2022/2023,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,3565,,,,0
2022/2023,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,15920,,,,0
2022/2023,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,5052,,,,0
2022/2023,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,6717,,,,0
2022/2023,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,5097,,,,0
2022/2023,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,18652,,,,0
2022/2023,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,10327,,,,0
2022/2023,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,8847,,,,0
2022/2023,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,10045,,,,0
2022/2023,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,20129,,,,0
2022/2023,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,22075,,,,0
2022/2023,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,7857,,,,0
2022/2023,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6897,,,,0
2022/2023,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,16146,,,,0
2022/2023,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,12735,,,,0
2022/2023,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,3186,,,,0
2022/2023,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3397,,,,0
2022/2023,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,28289,,,,0
2022/2023,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,18293,,,,0
2022/2023,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,7512,,,,0
2022/2023,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,8901,,,,0
2022/2023,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,42909,,,,0
2022/2023,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,25749,,,,0
2022/2023,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4980,,,,0
2022/2023,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,5286,,,,0
2022/2023,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,17507,,,,0
2022/2023,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,11748,,,,0
2022/2023,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,8397,,,,0
2022/2023,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,4715,,,,0
2022/2023,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,23275,,,,0
2022/2023,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,7388,,,,0
2022/2023,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6849,,,,0
2022/2023,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,6775,,,,0
2022/2023,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,28083,,,,0
2022/2023,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,15965,,,,0
2022/2023,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,5933,,,,0
2022/2023,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,9481,,,,0
2022/2023,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,31212,,,,0
2022/2023,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,20628,,,,0
2022/2023,Yukon,2016A000260,Canadian undergraduate,Constant dollars,370,units,0,v1411954069,12.1,3983,,,,0
2022/2023,Yukon,2016A000260,Canadian graduate,Constant dollars,370,units,0,v1411954070,12.2,,..,,,0
2022/2023,Yukon,2016A000260,International undergraduate,Constant dollars,370,units,0,v1411954071,12.3,,..,,,0
2022/2023,Yukon,2016A000260,International graduate,Constant dollars,370,units,0,v1411954072,12.4,,..,,,0
